Price,Location,Property Ref,Date Added,Last Updated,market Status,Type,Price_cat,Bedroom,Bathroom,Toilets,Town
250000000,"Guzape Main, Guzape District, Abuja",2253169,2024-05-13,2024-05-17, Available,Semi-detached Duplex,Millions,5.0,5.0,5.0,Guzape District
80000000,"Southend Estate Aviation Village, Lugbe District, Abuja",2252420,2024-05-13,2024-05-17, Available,House,Millions,4.0,4.0,5.0,Lugbe District
135000000,"Garki, Abuja",2252162,2024-05-12,2024-05-12, Available,Block of Flats,Millions,3.0,3.0,4.0,Garki
140000000,"By Stella Maris, Life Camp, Abuja",2252155,2024-05-12,2024-05-12, Available,Terraced Duplex,Millions,4.0,4.0,5.0,Life Camp
135000000,"Jahi, Abuja",2252142,2024-05-12,2024-05-12, Available,Block of Flats,Millions,3.0,3.0,4.0,Jahi
110000000,"Jahi, Abuja",2252140,2024-05-12,2024-05-12, Available,Block of Flats,Millions,2.0,2.0,3.0,Jahi
240000000,"Idu, Idu Industrial, Abuja",2252079,2024-05-12,2024-05-12, Available,Detached Duplex,Millions,4.0,4.0,5.0,Idu Industrial
400000000,"Efab Metropolis Estate, Gwarinpa, Abuja",2008335,2023-11-19,2024-04-23, Available,Detached Duplex,Millions,6.0,7.0,7.0,Gwarimpa
150000000,"Modern Shelter Estate, Life Camp, Abuja",2252046,2024-05-12,2024-05-12, Available,Terraced Duplex,Millions,4.0,4.0,5.0,Life Camp
180000000,"Life Camp, Abuja",2252014,2024-05-12,2024-05-12, Available,Semi-detached Duplex,Millions,4.0,4.0,5.0,Life Camp
100000000,"By Next Cash And Carry, Kado, Abuja",2251994,2024-05-12,2024-05-12, Available,Block of Flats,Millions,4.0,4.0,5.0,Kado
130000000,"Wetland Estate, Wuye, Abuja",2251934,2024-05-12,2024-05-15, Available,House,Millions,4.0,4.0,4.0,Wuye
500000000,"Guzape District, Abuja",2251727,2024-05-12,2024-05-14, Available,Detached Duplex,Millions,6.0,6.0,7.0,Guzape District
200000000,"Gra, FO1 Layout, Kubwa, Abuja",2251174,2024-05-12,2024-05-15, Available,Block of Flats,Millions,2.0,3.0,3.0,Kubwa
350000000,"Gra, FO1 Layout, Kubwa, Abuja",2251162,2024-05-12,2024-05-12, Available,Detached Duplex,Millions,5.0,5.0,6.0,Kubwa
200000000,"Mabushi, Abuja",2250210,2024-05-11,2024-05-17, Available,Terraced Duplex,Millions,4.0,5.0,5.0,Mabushi
50000000,"Behind Amac Market, FHA (F.H.A), Lugbe District, Abuja",2249978,2024-05-11,2024-05-11, Available,Semi-detached Bungalow,Millions,3.0,3.0,4.0,Lugbe District
250000000,"Before Brain And Hammer, Life Camp, Abuja",2249205,2024-05-10,2024-05-15, Available,Detached Duplex,Millions,5.0,6.0,6.0,Life Camp
250000000,"Mabglobal Estate, Idu Industrial, Abuja",2248969,2024-05-10,2024-05-10, Available,Detached Duplex,Millions,4.0,4.0,5.0,Idu Industrial
2500000000,"Maitama District, Abuja",2173814,2024-03-22,2024-04-23, Available,Detached Duplex,Billions,7.0,8.0,8.0,Maitama District
120000000,"Tarred Road, Life Camp, Abuja",2248906,2024-05-10,2024-05-10, Available,Detached Duplex,Millions,3.0,4.0,4.0,Life Camp
125000000,"Lugbe District, Abuja",2248901,2024-05-10,2024-05-15, Available,Semi-detached Duplex,Millions,5.0,5.0,6.0,Lugbe District
28000000,"Pengassan 3 Estate, Galadimawa, Abuja",2248858,2024-05-10,2024-05-12, Available,Detached Bungalow,Millions,3.0,3.0,4.0,Galadimawa
50000000,"Life Camp, Abuja",2248499,2024-05-10,2024-05-10, Available,Block of Flats,Millions,2.0,2.0,3.0,Life Camp
168000000,"Gaduwa, Abuja",2248201,2024-05-10,2024-05-14, Available,Detached Duplex,Millions,5.0,6.0,6.0,Gaduwa
26500000,"Kyami, Abuja",2248178,2024-05-10,2024-05-15, Available,House,Millions,3.0,4.0,4.0,Kyami
135000000,"Lokogoma District, Abuja",2247940,2024-05-10,2024-05-10, Available,Detached Duplex,Millions,4.0,4.0,5.0,Lokogoma District
11000000,"Close To Train Station., Idu Industrial, Abuja",2239505,2024-05-05,2024-05-12, Available,House,Millions,1.0,2.0,2.0,Idu Industrial
20000000,"City View, Kuje, Abuja",2247686,2024-05-10,2024-05-15, Available,Detached Bungalow,Millions,2.0,3.0,4.0,Kuje
700000000,"Guzape District, Abuja",2246812,2024-05-09,2024-05-09, Available,Semi-detached Duplex,Millions,4.0,4.0,5.0,Guzape District
23500000,"Kyami, Abuja",2246442,2024-05-09,2024-05-16, Available,Terraced Duplex,Millions,2.0,3.0,3.0,Kyami
180000000,"Sun City Estate, Galadimawa, Abuja",2246280,2024-05-09,2024-05-09, Available,Detached Bungalow,Millions,3.0,3.0,4.0,Galadimawa
400000000,"Lanre Smart Crescent, Guzape District, Abuja",2245837,2024-05-09,2024-05-09, Available,Detached Duplex,Millions,4.0,5.0,6.0,Guzape District
